"state","date","fips","cases","deaths","total_population","pop_age_65","pop_age_75","pop_age_85","pop_age_75_plus","pop_age_65_plus","poverty_65_plus","poverty_some_college","poverty_bachelor","percent_in_poverty","population_in_poverty","poverty_higher_edu","edu_assoc_under_24","edu_bachelor_under_24","edu_nodegree_over_25","edu_assoc_over_25","edu_bachelor_over_25","edu_bachelor_over_65","edu_hs_under_24","edu_hs_over_25","edu_higher_edu_18_plus","edu_higher_edu_25_plus","edu_hs_18_plus","edu_hs_or_higher_18_plus","edu_hs_or_higher_25_plus","total_housing_units","less_than_1person_room","more_than_1person_room","more_than_1.5person_room","one_plus_person_room","total_households","with_computer","wo_computer","with_internet","wo_internet","wo_computer_pct","wo_internet_pct","landarea","casesperlakh","deathsperlakh","pop_den","log_pop_den","house_per_capita","hs_edu_18_plus_percent","hs_edu_25_plus_percent","hs_or_higher_18_plus_percent","hs_or_higher_25_plus_percent","higher_edu_18_plus_per_capita","higher_edu_25_plus_per_capita","pct_age_65_plus","pct_age_75_plus","pct_age_85_plus"
"Massachusetts",2021-03-26,25,624986,17051,6892503,676157,336202,159934,496136,1172293,103160,90543,77978,9.4,6656430,168521,305223,134736,729016,360810,2181743,415121,186819,1158066,3711528,3271569,1344885,5056413,4429635,2928818,2595549,37696,17435,55131,2650680,2477606,173074,2362113,288567,0.0652941886610228,0.108865272307483,7800,9067.62028250115,247.384730917056,883.654230769231,2.94628236111644,0.424928070397648,0.195122874810501,0.16801820760905,0.73361056208463,0.642674366627044,0.53848768727413,0.474656159017994,0.170082334385636,0.0719819780999733,0.0232040522869558
"Michigan",2021-03-26,26,718182,17015,9986857,1041813,510903,213693,724596,1766409,144601,209522,80991,13,9772151,290513,411141,110041,1572770,648794,2070795,450271,308027,2005981,4813541,4292359,2314008,7127549,6298340,4629605,3904649,49100,16131,65231,3969880,3662456,307424,3420792,549088,0.0774391165476035,0.13831350065997,56539,7191.27148811683,170.373922446271,176.636604821451,2.24708070844109,0.46356976974838,0.231705330315634,0.200862093048894,0.713692906587127,0.630662880223478,0.481987576271494,0.429800787174584,0.176873364663177,0.0725549589825908,0.021397422632566
"Minnesota",2021-03-26,27,512175,6899,5639632,533366,276534,111591,388125,921491,66431,88975,38937,9,5515416,127912,211729,74069,785721,442578,1433226,274476,144744,939997,2947323,2661525,1084741,4032064,3601522,2477515,2175902,31279,15387,46666,2222568,2080782,141786,1962086,260482,0.063793773688814,0.117198663887899,79627,9081.70958672481,122.33067689523,70.8256244741105,1.85019041241188,0.439304373051291,0.192342514547048,0.166677010131157,0.714951613864167,0.638609398627428,0.522609099317119,0.471932388496271,0.163395590350576,0.0688209798086116,0.0197869293599299
"Mississippi",2021-03-26,28,304210,6998,2976149,289064,143319,54421,197740,486804,62566,81689,24171,19.6,2877843,105860,148517,20263,440939,207448,441751,104972,84574,598609,1258918,1090138,683183,1942101,1688747,1339047,1071122,17807,11300,29107,1100229,964097,136132,847509,252720,0.123730605174014,0.229697635674028,46923,10221.598448196,235.136076856367,63.4262302069348,1.8022688994949,0.449926062169602,0.229552687046247,0.201135427023311,0.652555030006898,0.567426899661274,0.423002342960651,0.366291472637963,0.16356842348955,0.0664415659296628,0.0182857108296661
"Missouri",2021-03-26,29,582660,8910,6137428,609250,327032,121661,448693,1057943,91208,120743,45390,12.9,5953025,166133,241357,65355,900486,333721,1271281,254218,188594,1308859,2812200,2505488,1497453,4309653,3814347,2819334,2411959,35242,11136,46378,2458337,2255796,202541,2090744,367593,0.0823894364360948,0.1495291329057,68742,9493.55332559502,145.174819158775,89.2820691862326,1.95076424684607,0.459367344105707,0.24398705777078,0.213258550650207,0.702192025715006,0.621489490385875,0.458204967944227,0.408230939735668,0.172375627054199,0.073107660081715,0.0198227987358874
"Montana",2021-03-26,30,104107,1435,1068778,126488,60461,20960,81421,207909,17495,22977,11245,12.6,1042682,34222,41431,9505,169641,69400,249148,62865,35316,211079,539125,488189,246395,785520,699268,519938,429266,6248,2137,8385,437651,404364,33287,374853,62798,0.0760583204425444,0.143488761593142,145546,9740.75065167883,134.265488249197,7.34323169307298,0.865887231249575,0.486478950726905,0.23053898938788,0.197495644558552,0.734970218324105,0.654268706878323,0.504431228936224,0.456773062319771,0.194529640393047,0.0761813959493927,0.0196111821163984
"Nebraska",2021-03-26,31,208213,2280,1934408,179065,91842,41388,133230,312295,24363,29829,14900,9.9,1877629,44729,88816,26974,280333,141189,422587,79215,54485,326389,959899,844109,380874,1340773,1170498,851167,757033,10706,3705,14411,771444,715015,56429,673122,98322,0.0731472407588885,0.127451895406536,76824,10763.6548235946,117.865517512335,25.1797354993231,1.40105116374691,0.440014205896584,0.196894347004355,0.168728106997076,0.693117997857743,0.60509365139102,0.496223650853388,0.436365544393944,0.161442156980327,0.0688737846410892,0.0213956931526338
"Nevada",2021-03-26,32,302655,5226,3080156,305843,149584,42792,192376,498219,47148,66912,32367,12.5,3037199,99279,95359,16539,525746,187469,548919,135789,106726,593417,1374032,1262134,700143,2074175,1855551,1285681,1094248,34725,14584,49309,1143557,1077305,66252,980739,162818,0.0579350220408777,0.142378560928751,109781,9825.96336029734,169.666731165564,28.0572776709995,1.44804553020558,0.417407754672166,0.227307642859647,0.192658099135239,0.673399334319431,0.602421111138527,0.446091691459783,0.409763012003288,0.161751222990004,0.0624565768746778,0.0138928028320644
"New Hampshire",2021-03-26,33,82374,1231,1359711,152050,72230,28867,101097,253147,15301,16333,10497,7.3,1316495,26830,54770,15431,174078,96658,368237,87824,39725,275105,709174,638973,314830,1024004,914078,642298,533101,5980,2315,8295,541396,507444,33952,484333,57063,0.0627119520646625,0.105399744364569,8953,6058.19913202144,90.5339443455264,151.872109907294,2.18147802649296,0.472378321569804,0.231541849701885,0.202326082527831,0.753104152279418,0.672259031514785,0.521562302577533,0.469932948986954,0.186177062625808,0.0743518291754645,0.021230246721546
"New Jersey",2021-03-26,34,887479,24358,8882190,837002,444063,194010,638073,1475075,126901,94399,82846,9.2,8712974,177245,320043,140579,974540,398984,2551765,475538,220673,1666321,4385911,3925289,1886994,6272905,5591610,3641854,3181127,67369,37768,105137,3286264,3077331,208933,2942667,343597,0.0635776675276241,0.104555507409021,7354,9991.66872134012,274.23416972616,1207.80391623606,3.08199643344994,0.410017574494578,0.212446930317861,0.187602494429865,0.706234048134525,0.629530554964485,0.493787117816665,0.44192806053462,0.166071092827332,0.0718373509235898,0.0218425861189639
"New Mexico",2021-03-26,35,190716,3925,2096829,224011,113221,40498,153719,377730,50190,58627,23119,18.2,2053305,81746,79527,15118,324141,129531,394598,119489,71806,376390,942915,848270,448196,1391111,1224660,948470,766890,18756,7774,26530,793420,707261,86159,626330,167090,0.108591918529909,0.21059464092158,121298,9095.44841281764,187.187414901263,17.2865916997807,1.23770937430977,0.452335407417581,0.213749428303405,0.179504384954615,0.663435597275696,0.584053349128613,0.449686168972291,0.404548964173998,0.180143445173641,0.0733102222451139,0.0193139259329206
"New York",2021-03-26,36,1831605,49363,19453561,1863892,992444,439632,1432076,3295968,384966,311513,240059,13,18932499,551572,762486,324680,2075506,1204588,5166218,989246,498422,3524192,9533478,8446312,4022614,13556092,11970504,8404205,7079237,229277,138298,367575,7446812,6844869,601943,6437819,1008993,0.0808323078385758,0.135493282226005,47126,9415.26849505857,253.747887083501,412.798900819081,2.61573853220238,0.432013706899215,0.206780342169745,0.181159223239385,0.696843729536202,0.615337418172436,0.490063387366457,0.434178194933051,0.169427489393844,0.073615108308448,0.0225990501173538
"North Carolina",2021-03-26,37,911060,12049,10488084,1047490,519151,184294,703445,1750935,156614,207621,93255,13.6,10199239,300876,456503,108514,1480044,727882,2321185,475408,320704,1839042,5094128,4529111,2159746,7253874,6368153,4748148,3952054,69372,24922,94294,4046348,3729901,316447,3457288,589060,0.0782055819222667,0.145578185563871,48618,8686.61997749065,114.882756469151,215.724299642108,2.33389906770843,0.452718342072775,0.205923789321291,0.175345849632783,0.691630044152964,0.607179824265328,0.485706254831674,0.431833974632545,0.166945173207995,0.0670708777694763,0.0175717509508886
"North Dakota",2021-03-26,38,102414,1498,762062,67281,34821,18075,52896,120177,9149,13996,4729,10.6,738814,18725,41704,10342,112811,70716,153397,28588,21467,134432,388970,336924,155899,544869,471356,379974,317559,3320,2640,5960,323519,298714,24805,273109,50410,0.0766724674594073,0.155817741770962,69001,13439.0640131643,196.571932467437,11.0442167504819,1.04313492138397,0.498612973747543,0.204575218289326,0.176405594295477,0.714993005818424,0.618527101469434,0.510417787529099,0.442121507173957,0.157699767210542,0.0694116751655377,0.0237185425857739
"Ohio",2021-03-26,39,1008913,18526,11689100,1187641,612935,242972,855907,2043548,164622,223952,88243,13.1,11362386,312195,440427,108016,1622014,702601,2356585,482678,379815,2627758,5229643,4681200,3007573,8237216,7308958,5232943,4659793,52066,18481,70547,4730340,4342217,388123,4048969,681371,0.0820497046723914,0.144042711517565,40861,8631.22909377112,158.48953298372,286.069846552948,2.45647208302088,0.447677152218734,0.25729722562045,0.224804133765645,0.704692063546381,0.625279790574125,0.447394837925931,0.40047565680848,0.174825093463141,0.0732226604272356,0.0207862025305627
"Oklahoma",2021-03-26,40,436971,4850,3956971,368463,192486,74273,266759,635222,59533,84332,28857,15.2,3841763,113189,160863,32682,596289,207896,686509,157441,136359,825284,1684239,1490694,961643,2645882,2315978,1749520,1456288,28811,10052,38863,1495151,1376767,118384,1252152,242999,0.0791786247676656,0.162524721583305,68595,11043.0680437132,122.568499996588,57.6859975216853,1.76107040696736,0.442136169307281,0.243025031014885,0.208564581342648,0.668663480222625,0.585290617495049,0.42563844920774,0.3767260361524,0.160532387020274,0.0674149494651338,0.0187701653613332
"Oregon",2021-03-26,41,163368,2384,4217737,467259,214550,85687,300237,767496,61189,98377,47583,11.4,4136542,145960,164509,39188,741058,269102,1032316,249756,114446,687243,2246173,2042476,801689,3047862,2729719,1808482,1593110,34522,21720,56242,1649352,1566512,82840,1473306,176046,0.0502257856418763,0.106736463774864,95988,3873.35673134669,56.5232018971311,43.9402529482852,1.64286255266934,0.428780172874696,0.190075625862874,0.162941169636703,0.72262969454947,0.647199908386891,0.532554068686597,0.484258738750188,0.181968671825673,0.0711843815771348,0.0203158708093938
"Pennsylvania",2021-03-26,42,1010521,25013,12801989,1353195,710194,324829,1035023,2388218,190650,196272,113279,12,12387178,309551,452714,153802,1420062,775694,2917402,601555,398207,3103046,5719674,5113158,3501253,9220927,8216204,5732580,5043104,52953,23192,76145,5119249,4642167,477082,4397526,721723,0.0931937477547976,0.14098220266293,44743,7893.46874145885,195.383701704477,286.122723107525,2.45655234969039,0.447788230407009,0.273492892393518,0.242387803957651,0.720272998203639,0.641791209162889,0.446780105810121,0.399403405205238,0.186550543044522,0.0808486087591545,0.0253733228485042
"Rhode Island",2021-03-26,44,135775,2608,1059361,107381,53019,26755,79774,187155,16103,14695,9603,10.8,1018586,24298,49918,13633,129984,64204,260275,54930,35145,212282,518014,454463,247427,765441,666745,470177,399416,5371,2387,7758,407174,374704,32470,357601,49573,0.0797447774170256,0.121748932888642,1034,12816.6885509283,246.186144288868,1024.52707930368,3.01052344173842,0.443830762129246,0.233562496637124,0.200386836970589,0.722549725730889,0.629384128734209,0.488987229093765,0.42899729176362,0.176667821450856,0.0753038860218566,0.0252557909909842
"South Carolina",2021-03-26,45,546670,9092,5148714,571319,277347,86872,364219,935538,92278,101308,41260,13.8,5003235,142568,202646,44576,725158,352549,1054559,263191,166144,1015260,2379488,2132266,1181404,3560892,3147526,2351364,1931552,30671,13692,44363,1975915,1818010,157905,1637121,338794,0.0799148748807515,0.171461829076656,30061,10617.6027644961,176.587784833261,171.27553973587,2.23369534477376,0.456689573357541,0.229456132152611,0.197187103420388,0.691608040376684,0.611322749719639,0.462151908224073,0.414135646299251,0.181703236963638,0.0707398002685719,0.0168725627409097
"South Dakota",2021-03-26,46,116833,1928,884659,90443,44057,19299,63356,153799,11387,13819,5104,11.9,854648,18923,33736,8527,120476,69831,174784,38123,27882,176644,407354,365091,204526,611880,541735,401749,346846,4699,2254,6953,353799,323725,30074,301600,52199,0.0850030667130207,0.147538574162166,75811,13206.5575549449,217.937080841319,11.6692696310562,1.06704367480044,0.454128652961197,0.231191905581699,0.199674676909408,0.691656333118185,0.612365894655455,0.460464427536486,0.412691217746047,0.173851167512002,0.0716162950922333,0.021815185286082
